IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 94, Info: 1711995701.678730000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 94, Info: 1711995701.678999000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 54, Info: 1711995701.679162000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.690836000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.691110000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 54, Info: 1711995701.691176000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.691566000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995701.908218000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995702.126161000
IP Origen: 162.159.135.234, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49636, Tamaño: 142, Info: 1711995702.207597000
IP Origen: 192.168.1.110, IP Destino: 162.159.135.234, Puerto Origen: 49636, Puerto Destino: 443, Tamaño: 54, Info: 1711995702.250801000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995703.134895000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995703.252306000
IP Origen: 192.168.1.110, IP Destino: 162.159.130.235, Puerto Origen: 49750, Puerto Destino: 443, Tamaño: 140, Info: 1711995703.445103000
IP Origen: 162.159.130.235, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49750, Tamaño: 54, Info: 1711995703.497338000
IP Origen: 92.223.20.11, IP Destino: 192.168.1.110, Puerto Origen: 80, Puerto Destino: 50123, Tamaño: 54, Info: 1711995703.885883000
